"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1400,6,1400.45833333333,"چهارمحال و بختياري",754,490,264,0.350132625994695
1401,6,1401.45833333333,"چهارمحال و بختياري",359,490,-131,-0.364902506963788
1399,7,1399.54166666667,"چهارمحال و بختياري",483,370.8,112.2,0.232298136645963
1400,7,1400.54166666667,"چهارمحال و بختياري",555,370.8,184.2,0.331891891891892
1401,7,1401.54166666667,"چهارمحال و بختياري",254,370.8,-116.8,-0.459842519685039
1399,8,1399.625,"چهارمحال و بختياري",710,218.799999999996,491.200000000004,0.691830985915499
1400,8,1400.625,"چهارمحال و بختياري",448,180.799999999996,267.200000000004,0.596428571428581
1399,9,1399.70833333333,"چهارمحال و بختياري",555,348.2,206.8,0.372612612612613
1400,9,1400.70833333333,"چهارمحال و بختياري",374,348.2,25.8,0.0689839572192514
1399,10,1399.79166666667,"چهارمحال و بختياري",417,345.75,71.25,0.170863309352518
1400,10,1400.79166666667,"چهارمحال و بختياري",317,345.75,-28.75,-0.0906940063091483
1398,11,1398.875,"چهارمحال و بختياري",314,402.8,-88.8,-0.282802547770701
1399,11,1399.875,"چهارمحال و بختياري",365,402.8,-37.8,-0.103561643835616
1400,11,1400.875,"چهارمحال و بختياري",364,402.8,-38.8,-0.106593406593407
1398,12,1398.95833333333,"چهارمحال و بختياري",274,384.6,-110.6,-0.403649635036496
1399,12,1399.95833333333,"چهارمحال و بختياري",375,384.6,-9.60000000000002,-0.0256000000000001
1400,12,1400.95833333333,"چهارمحال و بختياري",517,384.6,132.4,0.256092843326886
1399,1,1399.04166666667,"خراسان جنوبي",335,321.4,13.6,0.0405970149253732
1400,1,1400.04166666667,"خراسان جنوبي",345,321.4,23.6,0.0684057971014493
1401,1,1401.04166666667,"خراسان جنوبي",344,321.4,22.6,0.0656976744186047
1399,2,1399.125,"خراسان جنوبي",344,296,48,0.13953488372093
1400,2,1400.125,"خراسان جنوبي",492,296,196,0.398373983739837
