"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1401,4,1401.29166666667,"کردستان",662,573,89,0.134441087613293
1399,5,1399.375,"کردستان",981,610,371,0.378185524974516
1400,5,1400.375,"کردستان",704,610,94,0.133522727272727
1400,6,1400.45833333333,"کردستان",1073,585.8,487.2,0.454054054054054
1401,6,1401.45833333333,"کردستان",706,585.8,120.2,0.170254957507082
1399,7,1399.54166666667,"کردستان",841,572.6,268.4,0.319143876337693
1400,7,1400.54166666667,"کردستان",1128,572.6,555.4,0.492375886524823
1399,8,1399.625,"کردستان",1700,563,1137,0.668823529411765
1400,8,1400.625,"کردستان",943,563,380,0.402969247083775
1399,9,1399.70833333333,"کردستان",1158,632,526,0.454231433506045
1400,9,1400.70833333333,"کردستان",862,632,230,0.266821345707657
1399,10,1399.79166666667,"کردستان",830,648.25,181.75,0.218975903614458
1400,12,1400.95833333333,"کردستان",912,618,294,0.322368421052632
1400,2,1400.125,"کرمان",1486,1137.2,348.8,0.234724091520861
1399,3,1399.20833333333,"کرمان",1291,1033,258,0.199845081332301
1400,3,1400.20833333333,"کرمان",1361,1033,328,0.240999265246143
1399,4,1399.29166666667,"کرمان",1618,1027,591,0.365265760197775
1400,4,1400.29166666667,"کرمان",1339,1027,312,0.233009708737864
1401,4,1401.29166666667,"کرمان",1332,1027,305,0.228978978978979
1399,5,1399.375,"کرمان",1855,1035.2,819.8,0.441940700808625
1400,5,1400.375,"کرمان",1835,1035.2,799.8,0.435858310626703
1399,6,1399.45833333333,"کرمان",1312,1028.8,283.2,0.215853658536585
1400,6,1400.45833333333,"کرمان",2562,1028.8,1533.2,0.598438719750195
1401,6,1401.45833333333,"کرمان",1204,1028.8,175.2,0.145514950166113
1400,7,1400.54166666667,"کرمان",1599,1038.4,560.6,0.350594121325829
1399,8,1399.625,"کرمان",2152,1023.8,1128.2,0.524256505576208
1400,8,1400.625,"کرمان",1349,1023.8,325.2,0.241067457375834
1399,9,1399.70833333333,"کرمان",1933,1247.6,685.4,0.354578375581997
1400,12,1400.95833333333,"کرمان",1841,1174,667,0.3623030961434
1400,1,1400.04166666667,"کرمانشاه",1058,886.6,171.4,0.162003780718336
1400,2,1400.125,"کرمانشاه",1448,850.2,597.8,0.412845303867403
1401,2,1401.125,"کرمانشاه",1002,850.2,151.8,0.151497005988024
1399,3,1399.20833333333,"کرمانشاه",1198,861.2,336.8,0.281135225375626
1399,4,1399.29166666667,"کرمانشاه",1408,828.6,579.4,0.411505681818182
1400,4,1400.29166666667,"کرمانشاه",1038,828.6,209.4,0.201734104046243
